product_id,category,date,day_of_week,month,units_sold,price,revenue
prod_001,jackets,2024-07-01,0,7,35,3592,125720
prod_001,jackets,2024-07-02,1,7,31,966,29946
prod_001,jackets,2024-07-03,2,7,35,3944,138040
prod_001,jackets,2024-07-04,3,7,31,3671,113801
prod_001,jackets,2024-07-05,4,7,40,1269,50760
prod_001,jackets,2024-07-06,5,7,43,2891,124313
prod_001,jackets,2024-07-07,6,7,47,1684,79148
prod_001,jackets,2024-07-08,0,7,42,3885,163170
prod_001,jackets,2024-07-09,1,7,24,974,23376
prod_001,jackets,2024-07-10,2,7,44,1582,69608
prod_001,jackets,2024-07-11,3,7,35,3247,113645
prod_001,jackets,2024-07-12,4,7,37,1475,54575
prod_001,jackets,2024-07-13,5,7,46,3505,161230
prod_001,jackets,2024-07-14,6,7,45,2399,107955
prod_001,jackets,2024-07-15,0,7,47,3702,173994
prod_001,jackets,2024-07-16,1,7,34,4056,137904
prod_001,jackets,2024-07-17,2,7,26,2935,76310
prod_001,jackets,2024-07-18,3,7,32,1100,35200
prod_001,jackets,2024-07-19,4,7,26,1863,48438
prod_001,jackets,2024-07-20,5,7,34,1978,67252
prod_001,jackets,2024-07-21,6,7,41,534,21894
prod_001,jackets,2024-07-22,0,7,28,3652,102256
prod_001,jackets,2024-07-23,1,7,29,3573,103617
prod_001,jackets,2024-07-24,2,7,21,1521,31941
prod_001,jackets,2024-07-25,3,7,37,2000,74000
prod_001,jackets,2024-07-26,4,7,32,661,21152
prod_001,jackets,2024-07-27,5,7,40,3842,153680
prod_001,jackets,2024-07-28,6,7,36,4298,154728
prod_001,jackets,2024-07-29,0,7,32,837,26784
prod_001,jackets,2024-07-30,1,7,31,1378,42718
prod_001,jackets,2024-07-31,2,7,30,879,26370
prod_001,jackets,2024-08-01,3,8,39,992,38688
prod_001,jackets,2024-08-02,4,8,37,564,20868
prod_001,jackets,2024-08-03,5,8,45,3068,138060
prod_001,jackets,2024-08-04,6,8,44,1995,87780
prod_001,jackets,2024-08-05,0,8,42,891,37422
prod_001,jackets,2024-08-06,1,8,44,4061,178684
prod_001,jackets,2024-08-07,2,8,44,2778,122232
prod_001,jackets,2024-08-08,3,8,43,700,30100
prod_001,jackets,2024-08-09,4,8,40,3604,144160
prod_001,jackets,2024-08-10,5,8,48,1304,62592
prod_001,jackets,2024-08-11,6,8,46,3231,148626
prod_001,jackets,2024-08-12,0,8,41,3190,130790
prod_001,jackets,2024-08-13,1,8,37,4340,160580
prod_001,jackets,2024-08-14,2,8,29,4993,144797
prod_001,jackets,2024-08-15,3,8,36,1370,49320
prod_001,jackets,2024-08-16,4,8,30,1363,40890
prod_001,jackets,2024-08-17,5,8,33,3290,108570
prod_001,jackets,2024-08-18,6,8,52,2257,117364
prod_001,jackets,2024-08-19,0,8,23,2178,50094
prod_001,jackets,2024-08-20,1,8,24,2222,53328
prod_001,jackets,2024-08-21,2,8,29,3814,110606
prod_001,jackets,2024-08-22,3,8,28,3193,89404
prod_001,jackets,2024-08-23,4,8,31,4127,127937
prod_001,jackets,2024-08-24,5,8,39,2163,84357
prod_001,jackets,2024-08-25,6,8,34,2029,68986
prod_001,jackets,2024-08-26,0,8,26,2737,71162
prod_001,jackets,2024-08-27,1,8,25,1806,45150
prod_001,jackets,2024-08-28,2,8,36,1782,64152
prod_001,jackets,2024-08-29,3,8,30,1209,36270
prod_001,jackets,2024-08-30,4,8,19,4248,80712
prod_001,jackets,2024-08-31,5,8,46,1163,53498
prod_001,jackets,2024-09-01,6,9,45,1995,89775
prod_001,jackets,2024-09-02,0,9,39,3804,148356
